Date,Portfolio_Value,Cash,Position_Value
2025-05-09,102805.0606706877,85976.62151652327,16828.43915416443
2025-05-12,103483.62670354336,85976.62151652327,17507.005187020084
2025-05-13,103695.17878297657,85976.62151652327,17718.5572664533
2025-05-14,103467.65908570183,85976.62151652327,17491.03756917856
2025-05-15,103288.03916326318,85976.62151652327,17311.417646739905
2025-05-16,103156.31747631637,85976.62151652327,17179.695959793095
2025-05-19,102864.93346505251,85976.62151652327,16888.311948529234
2025-05-20,102701.27962111114,85976.62151652327,16724.658104587863
2025-05-21,102393.92953134999,85976.62151652327,16417.308014826718
2025-05-22,102373.97193322839,85976.62151652327,16397.350416705118
2025-05-23,102457.79384533911,85976.62151652327,16481.172328815843
2025-05-27,102589.51399294168,85976.62151652327,16612.89247641841
2025-05-28,102389.93647238142,85976.62151652327,16413.314955858154
2025-05-29,102525.64967895256,85976.62151652327,16549.028162429284
2025-05-30,102254.2232658103,85976.62151652327,16277.601749287025
2025-06-02,102517.66663970391,85976.62151652327,16541.045123180644
2025-06-03,103016.61121077667,85976.62151652327,17039.9896942534
2025-06-04,102705.27114073545,85976.62151652327,16728.649624212183
2025-06-05,102669.34592477232,85976.62151652327,16692.724408249058
2025-06-06,102956.73995575611,85976.62151652327,16980.118439232843
2025-06-09,103236.14940814702,85976.62151652327,17259.527891623744
2025-06-10,103601.40962836205,85976.62151652327,17624.78811183877
2025-06-11,103974.69752880879,85976.62151652327,17998.076012285514
2025-06-12,103942.58526853769,85976.62151652327,17965.96375201442
2025-06-13,104620.92655713375,85976.62151652327,18644.30504061047
2025-06-16,104171.37646415786,85976.62151652327,18194.754947634585
2025-06-17,104432.27530201638,85976.62151652327,18455.653785493112
2025-06-18,104179.40260504532,85976.62151652327,18202.781088522053
2025-06-20,104291.7901282893,85976.62151652327,18315.168611766025
2025-06-23,103617.46498882546,85976.62151652327,17640.843472302196
2025-06-24,103027.4297221225,85976.62151652327,17050.808205599227
2025-06-25,103003.34514208311,85976.62151652327,17026.723625559844
2025-06-26,103300.3708500007,85976.62151652327,17323.74933347744
2025-06-27,103075.59580351277,85976.62151652327,17098.974286989498
2025-06-30,102838.77846700513,85976.62151652327,16862.156950481865
2025-07-01,103179.95564652502,85976.62151652327,17203.334130001756
2025-07-02,103609.43730859376,85976.62151652327,17632.815792070483
2025-07-03,103557.2566174155,85976.62151652327,17580.635100892232
2025-07-07,103376.63304252987,85976.62151652327,17400.011526006587
2025-07-08,104339.95620967957,85976.62151652327,18363.3346931563
2025-07-09,104267.70708759416,85976.62151652327,18291.08557107089
2025-07-10,104380.09461083813,85976.62151652327,18403.47309431486
2025-07-11,104564.73279551175,85976.62151652327,18588.111278988483
2025-07-14,104067.01508180135,85976.62151652327,18090.393565278082
2025-07-15,103111.71959488335,85976.62151652327,17135.098078360083
2025-07-16,103087.63809353246,85976.62151652327,17111.016577009188
2025-07-17,103456.91138419122,85976.62151652327,17480.28986766795
2025-07-18,103485.0074953301,85976.62151652327,17508.385978806822
2025-07-21,103236.14940814702,85976.62151652327,17259.527891623744
2025-07-22,103460.92599397921,85976.62151652327,17484.30447745593
2025-07-23,103814.1423848303,85976.62151652327,17837.520868307023
2025-07-24,103890.40611670369,85976.62151652327,17913.784600180414
2025-07-25,103922.51683763054,85976.62151652327,17945.895321107262
2025-07-28,104259.67940736245,85976.62151652327,18283.057890839176
2025-07-29,104223.55407664762,85976.62151652327,18246.932560124347
2025-07-30,103802.10163415485,85976.62151652327,17825.480117631578
2025-07-31,103613.45037903749,85976.62151652327,17636.82886251422
2025-08-01,103400.71762256924,85976.62151652327,17424.096106045967
2025-08-04,103179.95564652502,85976.62151652327,17203.334130001756
2025-08-05,103268.26166841811,85976.62151652327,17291.640151894837
2025-08-06,103051.51276281764,85976.62151652327,17074.891246294363
2025-08-07,103472.96674465465,85976.62151652327,17496.345228131377
2025-08-08,103765.97630344002,85976.62151652327,17789.354786916752
2025-08-11,103521.13282604492,85976.62151652327,17544.51130952165
2025-08-12,103697.74179114259,85976.62151652327,17721.12027461932
2025-08-13,103938.57219809396,85976.62151652327,17961.950681570685
2025-08-14,103946.59987832567,85976.62151652327,17969.978361802398
2025-08-15,103882.37843647198,85976.62151652327,17905.7569199487
2025-08-18,103721.82483183773,85976.62151652327,17745.203315314455
2025-08-19,103621.4780592692,85976.62151652327,17644.856542745933
2025-08-20,103745.90787253287,85976.62151652327,17769.286356009594
2025-08-21,103862.31000556481,85976.62151652327,17885.688489041542
2025-08-22,104372.06846995067,85976.62151652327,18395.446953427392
2025-08-25,104581.23235181198,104581.23235181198,0.0
2025-08-26,104581.23235181198,104581.23235181198,0.0
2025-08-27,104581.23235181198,104581.23235181198,0.0
2025-08-28,104581.23235181198,104581.23235181198,0.0
2025-08-29,104581.23235181198,104581.23235181198,0.0
2025-09-02,104581.23235181198,104581.23235181198,0.0
2025-09-03,104581.23235181198,104581.23235181198,0.0
2025-09-04,104581.23235181198,104581.23235181198,0.0
2025-09-05,104581.23235181198,104581.23235181198,0.0
2025-09-08,104581.23235181198,104581.23235181198,0.0
2025-09-09,104581.23235181198,104581.23235181198,0.0
2025-09-10,104581.23235181198,104581.23235181198,0.0
2025-09-11,104581.23235181198,104581.23235181198,0.0
2025-09-12,104581.23235181198,104581.23235181198,0.0
2025-09-15,104581.23235181198,104581.23235181198,0.0
2025-09-16,104581.23235181198,104581.23235181198,0.0
2025-09-17,104581.23235181198,104581.23235181198,0.0
2025-09-18,104581.23235181198,104581.23235181198,0.0
2025-09-19,104581.23235181198,104581.23235181198,0.0
2025-09-22,104581.23235181198,104581.23235181198,0.0
2025-09-23,104581.23235181198,104581.23235181198,0.0
2025-09-24,104581.23235181198,104581.23235181198,0.0
2025-09-25,104581.23235181198,104581.23235181198,0.0
2025-09-26,104581.23235181198,104581.23235181198,0.0
2025-09-29,104581.23235181198,104581.23235181198,0.0
2025-09-30,104581.23235181198,104581.23235181198,0.0
2025-10-01,104581.23235181198,104581.23235181198,0.0
2025-10-02,104581.23235181198,104581.23235181198,0.0
2025-10-03,104581.23235181198,104581.23235181198,0.0
2025-10-06,104581.23235181198,104581.23235181198,0.0
2025-10-07,104581.23235181198,104581.23235181198,0.0
2025-10-08,104581.23235181198,104581.23235181198,0.0
